2025-07-21 13:06:34.323   772-1270  TransitionController    system_server                        E  Set visible without transition ActivityRecord{107088774 u0 com.testapp.bluesky_api_test/.ui.LoginActivity t9} playing=true caller=com.android.server.wm.EnsureActivitiesVisibleHelper.makeVisibleAndRestartIfNeeded:246 
2025-07-21 13:06:34.853  2369-2369  luesky_api_test         com.testapp.bluesky_api_test         I  Late-enabling -Xcheck:jni
2025-07-21 13:06:34.888  2369-2369  luesky_api_test         com.testapp.bluesky_api_test         I  Using CollectorTypeCMC GC.
2025-07-21 13:06:34.889  2369-2369  luesky_api_test         com.testapp.bluesky_api_test         W  Unexpected CPU variant for x86: x86_64.
                                                                                                    Known variants: atom, sandybridge, silvermont, goldmont, goldmont-plus, goldmont-without-sha-xsaves, tremont, kabylake, alderlake, default
2025-07-21 13:06:34.928  2369-2369  nativeloader            com.testapp.bluesky_api_test         D  Load libframework-connectivity-tiramisu-jni.so using APEX ns com_android_tethering for caller /apex/com.android.tethering/javalib/framework-connectivity-t.jar: ok
2025-07-21 13:06:35.328  2369-2369  nativeloader            com.testapp.bluesky_api_test         D  Load /data/user/0/com.testapp.bluesky_api_test/code_cache/startup_agents/9758b833-agent.so using system ns (caller=<unknown>): ok
2025-07-21 13:06:35.321  2369-2369  re-initialized>         com.testapp.bluesky_api_test         W  type=1400 audit(0.0:94): avc:  granted  { execute } for  path="/data/data/com.testapp.bluesky_api_test/code_cache/startup_agents/9758b833-agent.so" dev="dm-55" ino=361615 scontext=u:r:untrusted_app:s0:c215,c256,c512,c768 tcontext=u:object_r:app_data_file:s0:c215,c256,c512,c768 tclass=file app=com.testapp.bluesky_api_test
2025-07-21 13:06:35.447  2369-2369  luesky_api_test         com.testapp.bluesky_api_test         W  hiddenapi: DexFile /data/data/com.testapp.bluesky_api_test/code_cache/.studio/instruments-07dd17c6.jar is in boot class path but is not in a known location
2025-07-21 13:06:35.477  2369-2369  luesky_api_test         com.testapp.bluesky_api_test         W  Redefining intrinsic method java.lang.Thread java.lang.Thread.currentThread(). This may cause the unexpected use of the original definition of java.lang.Thread java.lang.Thread.currentThread()in methods that have already been compiled.
2025-07-21 13:06:35.477  2369-2369  luesky_api_test         com.testapp.bluesky_api_test         W  Redefining intrinsic method boolean java.lang.Thread.interrupted(). This may cause the unexpected use of the original definition of boolean java.lang.Thread.interrupted()in methods that have already been compiled.
